headturn,subj,00,22,02,44,04
3,26,0,-1,0,-1,0
3,27,0,-1,-2,-2,-2
3,28,-1,-1,-1,-1,0
3,29,0,0,0,0,0
3,30,0,0,0,1,0
3,31,0,0,0,0,0
3,32,1,0,0,-1,0
3,33,-2,-2,0,-1,0
3,34,0,-1,-1,0,0
3,35,0,-1,0,2,0
3,36,1,-1,0,0,0
3,37,1,1,0,1,0
3,38,1,0,1,0,0
3,39,1,0,0,0,1
3,40,0,0,0,0,0
4,1,0,0,0,2,-2
4,2,0,0,-1,0,1
4,3,0,0,1,0,0
4,4,-1,0,-1,0,0
4,5,-1,-1,0,1,1
4,6,0,0,1,0,0
4,7,0,-1,0,0,1
4,8,1,1,1,-1,0
4,9,1,1,-1,1,0
4,10,0,0,0,0,0
4,11,1,1,-1,0,0
4,12,0,-1,0,0,0
4,13,0,1,1,0,1
4,14,-1,0,0,-1,0
4,15,-1,0,0,0,1
4,16,1,1,0,1,0
4,17,0,0,1,0,1
4,18,-1,0,-1,-1,0
4,19,-1,0,0,-1,-1
4,20,1,0,0,1,0
4,21,2,0,-1,-1,0
4,22,0,1,0,1,2
4,23,1,-1,-1,0,0
4,24,0,0,0,1,1
4,25,-1,-1,-2,-1,-1
4,26,0,-1,-1,-1,0
4,27,-1,0,0,0,-1
4,28,-1,0,0,-1,0
4,29,1,0,0,1,0
4,30,-1,0,1,0,0
4,31,0,0,0,0,0
4,32,0,0,-1,0,0
4,33,-1,1,0,0,-1
4,34,1,1,1,1,1
4,35,0,0,0,0,-1
4,36,-1,-1,-1,-1,-1
4,37,0,-1,0,-2,0
4,38,0,0,1,1,-1
4,39,1,2,0,-1,1
4,40,0,0,-1,0,1
5,1,-1,-1,2,-1,-2
5,2,0,-1,2,0,0
5,3,0,0,1,0,1
5,4,-1,-1,0,0,0
5,5,1,0,0,0,1
5,6,-1,0,-1,-1,-1
5,7,0,-1,0,0,-1
5,8,0,0,-2,0,-1
5,9,0,0,0,0,-1
5,10,0,1,0,1,1
5,11,0,0,0,0,-1
5,12,-1,1,2,1,1
5,13,-1,0,0,0,0
5,14,0,-1,0,0,0
5,15,-1,0,0,0,0
5,16,-1,-1,-2,0,0
5,17,1,1,0,0,2
5,18,1,0,0,-1,0
5,19,0,1,1,0,1
5,20,0,0,1,0,0
5,21,0,-1,0,0,0
5,22,-1,1,-1,0,1
5,23,0,0,0,-1,-1
5,24,1,0,0,1,0
5,25,-1,0,0,-1,-1
5,26,-1,-1,-2,-2,-1
5,27,-1,0,-2,-1,-1
5,28,0,1,0,1,0
5,29,0,-1,0,-1,0
5,30,-1,0,0,0,0
5,31,0,0,0,0,0
5,32,-1,-2,0,1,-1
5,33,-1,-2,-1,-1,-2
5,34,0,-1,-1,-1,-1
5,35,0,0,0,1,-2
5,36,1,-1,0,0,0
5,37,1,2,1,0,0
5,38,0,0,1,1,0
5,39,-1,0,-1,1,0
5,40,0,-1,0,0,0
