SSQ
37.125
14.1
4
16
6.6
5
12
18
6.5
28
9
6.25
1
2
1
2
5.142857143
4
4
0
6
15
7.875
4.5
18
11
4.5
7.875
2.125
0
0
21
0
2
33.125
0
16
4
1
28
