subj,headturn,lenses,resp
28,5,4,1
29,5,4,0
30,5,4,0
31,5,4,0
32,5,4,0
33,5,4,0
34,5,4,0
35,5,4,1
36,5,4,0
37,5,4,1
38,5,4,0
39,5,4,0
40,5,4,1
1,1,5,1
2,1,5,0
3,1,5,1
4,1,5,0
5,1,5,1
6,1,5,0
7,1,5,0
8,1,5,1
9,1,5,2
10,1,5,0
11,1,5,1
12,1,5,0
13,1,5,1
14,1,5,0
15,1,5,0
16,1,5,2
17,1,5,0
18,1,5,-1
19,1,5,0
20,1,5,0
21,1,5,1
22,1,5,1
23,1,5,0
24,1,5,1
25,1,5,1
26,1,5,1
27,1,5,0
28,1,5,0
29,1,5,0
30,1,5,1
31,1,5,0
32,1,5,0
33,1,5,0
34,1,5,1
35,1,5,0
36,1,5,0
37,1,5,0
38,1,5,0
39,1,5,0
40,1,5,0
1,2,5,1
2,2,5,1
3,2,5,2
4,2,5,0
5,2,5,0
6,2,5,0
7,2,5,0
8,2,5,1
9,2,5,2
10,2,5,0
11,2,5,2
12,2,5,-2
13,2,5,1
14,2,5,0
15,2,5,0
16,2,5,1
17,2,5,0
18,2,5,0
19,2,5,0
20,2,5,-1
21,2,5,0
22,2,5,0
23,2,5,0
24,2,5,0
25,2,5,1
26,2,5,1
27,2,5,0
28,2,5,1
29,2,5,0
30,2,5,2
31,2,5,0
32,2,5,0
33,2,5,0
34,2,5,2
35,2,5,0
36,2,5,0
37,2,5,0
38,2,5,0
39,2,5,0
40,2,5,0
1,3,5,1
2,3,5,0
3,3,5,-1
4,3,5,0
5,3,5,1
6,3,5,0
7,3,5,0
8,3,5,2
9,3,5,2
10,3,5,0
11,3,5,1
12,3,5,0
13,3,5,0
14,3,5,0
15,3,5,-1
16,3,5,-1
17,3,5,1
18,3,5,1
19,3,5,0
20,3,5,0
21,3,5,1
22,3,5,0
23,3,5,0
24,3,5,1
25,3,5,0
26,3,5,1
27,3,5,0
28,3,5,1
29,3,5,0
30,3,5,1
31,3,5,0
32,3,5,-1
33,3,5,0
34,3,5,2
35,3,5,0
36,3,5,0
37,3,5,0
38,3,5,1
39,3,5,0
40,3,5,0
1,4,5,-1
2,4,5,-1
3,4,5,-1
4,4,5,-1
5,4,5,0
6,4,5,-1
7,4,5,-1
8,4,5,-2
9,4,5,1
10,4,5,-1
11,4,5,-1
12,4,5,-1
13,4,5,0
14,4,5,-1
15,4,5,-2
16,4,5,2
17,4,5,0
18,4,5,2
19,4,5,-2
20,4,5,-1
21,4,5,0
22,4,5,0
23,4,5,-1
24,4,5,0
25,4,5,-1
26,4,5,0
27,4,5,0
28,4,5,0
29,4,5,1
30,4,5,0
31,4,5,-1
32,4,5,-1
33,4,5,-1
34,4,5,1
35,4,5,0
36,4,5,0
37,4,5,-1
38,4,5,0
39,4,5,0
40,4,5,-1
1,5,5,2
2,5,5,3
3,5,5,3
4,5,5,1
5,5,5,1
6,5,5,2
7,5,5,1
8,5,5,2
9,5,5,3
10,5,5,2
11,5,5,1
12,5,5,2
13,5,5,2
14,5,5,0
15,5,5,0
16,5,5,1
17,5,5,2
18,5,5,2
19,5,5,0
20,5,5,1
21,5,5,1
22,5,5,1
23,5,5,1
24,5,5,1
25,5,5,1
26,5,5,1
27,5,5,2
28,5,5,2
29,5,5,2
30,5,5,3
31,5,5,1
32,5,5,1
33,5,5,2
34,5,5,2
35,5,5,1
36,5,5,0
37,5,5,1
38,5,5,2
39,5,5,1
40,5,5,1
